,title,publishedDate,thumbnail,views,likes,comments
0,Complete Roadmap to Become Computer Vision Developer| Krish Naik Hindi,2022-09-07T05:44:36Z,https://i.ytimg.com/vi/3SqFBYHwPuw/default.jpg,72,16,1
1,Full Stack Data Science BootCamp 2.0 With Job Guaranted Batch Announcement,2022-09-06T07:55:03Z,https://i.ytimg.com/vi/Ae8FKa01ZOQ/default.jpg,1312,78,38
2,Data Science Interview Tips- Project Explanation To Interviewers,2022-09-02T15:05:56Z,https://i.ytimg.com/vi/trrUVf1rs0I/default.jpg,1243,115,16
3,Roadmap Of Non Programmer To Data Science|Krish Naik Hindi,2022-08-31T09:14:42Z,https://i.ytimg.com/vi/pMOEEObxwXQ/default.jpg,1850,136,13
4,Myths vs Reality About Data Science|सब कुछ अनदेखा करें|Krish Naik Hindi,2022-08-29T13:13:40Z,https://i.ytimg.com/vi/SLoUfnbaAYA/default.jpg,1660,134,21
5,How To Become Pro In Maths For Data Science|Krish Naik Hindi,2022-08-27T14:55:05Z,https://i.ytimg.com/vi/K-dPSnYjfFc/default.jpg,1996,157,12
6,Cleansheet To Learn Python For Data Analyst And Data Scientist,2022-08-25T13:19:22Z,https://i.ytimg.com/vi/lwbRsj2hxJM/default.jpg,3118,214,18
7,"7 Days Study Plan To Learn Statistics For Data analyst & Data Scientist With Free Videos,Materials",2022-08-23T11:43:40Z,https://i.ytimg.com/vi/mRnLflYz1_w/default.jpg,3184,209,19
8,PATH FOR LEARNING PYTHON FOR DATA ANALYST|Krish Naik Hindi,2022-08-22T12:57:48Z,https://i.ytimg.com/vi/DdZYk-5ROOY/default.jpg,1844,135,14
9,TIPS FOR LEARNING PYTHON FAST In 2022|Krish Naik Hindi,2022-08-21T13:10:08Z,https://i.ytimg.com/vi/bRwoGKUIR04/default.jpg,3092,180,16
10,3 Months Roadmap To Learn Data Science With Videos| Krish Naik Hindi,2022-08-19T08:52:45Z,https://i.ytimg.com/vi/Fl23h4YnnUY/default.jpg,2245,167,15
11,Starting Machine Learning Interview Playlist In Krish Naik Hindi,2022-08-17T10:26:48Z,https://i.ytimg.com/vi/jHm991Ktb1I/default.jpg,1220,113,87
12,The Only Skill That Can Help You Achieve Anything|Krish Naik Hindi,2022-08-16T16:30:14Z,https://i.ytimg.com/vi/J6thZIogmsg/default.jpg,1938,175,9
13,Who Can Learn Data Science and What Are the The Prerequisites?,2022-08-15T11:25:40Z,https://i.ytimg.com/vi/9eSLn5XdCfA/default.jpg,1752,143,24
14,Is DSA Required For Machine Learning|Krish Naik Hindi,2022-08-14T12:24:29Z,https://i.ytimg.com/vi/r8mvWKs9elg/default.jpg,1530,132,16
15,How SVM Kernels Work? |Krish Naik Hindi,2022-08-14T09:12:32Z,https://i.ytimg.com/vi/sRdquT--KO8/default.jpg,571,43,4
16,Tech Skills Required For A Data Analyst|Krish Naik Hindi,2022-08-10T07:52:29Z,https://i.ytimg.com/vi/wsLx9ATivF4/default.jpg,2491,179,29
17,Roles And Responsibilities Of Data Scientist|Krish Naik Hindi,2022-08-08T06:47:16Z,https://i.ytimg.com/vi/c4I1arz_9SI/default.jpg,2143,143,19
18,Top Tech Skills To Learn In 2022- Krish Naik Hindi,2022-08-03T13:43:44Z,https://i.ytimg.com/vi/tmZJB3W2lmk/default.jpg,2410,147,37
19,Smart Technqiues To Crack Data Science Interviews|Krish Naik,2022-08-02T08:33:08Z,https://i.ytimg.com/vi/2iI9smwWzaM/default.jpg,3413,274,18
20,Tutorial 4- Stemming And Lemmatization And Its Implementation NLP|Krish NAik,2022-07-31T06:45:34Z,https://i.ytimg.com/vi/oeb_faxlMn4/default.jpg,1281,65,8
21,Tutorial 3-What Is Tokenization And Its Implementation In Python|Krish Naik,2022-07-30T03:41:11Z,https://i.ytimg.com/vi/zza-0hUsipw/default.jpg,1098,59,3
22,Tutorial 2- Hindi-Why To Learn Natural Language Processing(NLP) And Basic Terminologies|Krish Naik,2022-07-27T06:36:02Z,https://i.ytimg.com/vi/YB0kdAARLKQ/default.jpg,2000,142,7
23,Out Of Bag(OOB) Evaluation And Error In Random Forest Indepth Intuition In Hindi,2022-07-25T12:28:50Z,https://i.ytimg.com/vi/TDtP4K_2CWg/default.jpg,1603,88,11
24,Tutorial 14-What Is Hypothesis Testing Explained In Hindi|Krish Naik,2022-07-19T10:11:55Z,https://i.ytimg.com/vi/pZ1d32ar_iY/default.jpg,3147,177,18
25,Random Forest Regression And Classification Indepth Intuition In Hindi,2022-07-12T11:25:19Z,https://i.ytimg.com/vi/WjLjjx8wSz0/default.jpg,2701,145,13
26,Tutorial 19-Inheritance In Python|Python In Hindi|Krish Naik,2022-07-11T10:52:32Z,https://i.ytimg.com/vi/GIchMiGRZbE/default.jpg,1300,60,11
27,Tutorial 18-Multiple Constructors In Python|Python In Hindi|Krish Naik,2022-07-10T13:13:38Z,https://i.ytimg.com/vi/rio_mTwjxzU/default.jpg,1492,70,8
28,"Tutorial 17-Introduction To OOPS, Classes, Constructors,Methods|Python In Hindi|Krish Naik",2022-07-04T10:36:40Z,https://i.ytimg.com/vi/KeggonclRK8/default.jpg,3677,147,10
29,Tutorial 16-Position And Keyword Argument In Functions|Python In Hindi|Krish Naik,2022-07-03T03:59:12Z,https://i.ytimg.com/vi/Lt_GHpt94y8/default.jpg,2083,120,7
30,Tutorial 15- Importance Of Functions|Python In Hindi|Krish Naik,2022-07-01T12:12:40Z,https://i.ytimg.com/vi/dME1WAwl8eg/default.jpg,2457,84,9
31,Hindi- Ensemble Techniques-Bagging Vs Boosting|Krish Naik,2022-06-30T04:45:43Z,https://i.ytimg.com/vi/5TOSlFQnnPU/default.jpg,1960,101,14
32,Hindi-Types Of Cross Validation In Machine Learning|Krish Naik,2022-06-29T05:29:09Z,https://i.ytimg.com/vi/bq4LytNAjjM/default.jpg,1652,95,5
33,Hindi-Cross Validation Using Python In Machine Learning|Krish Naik,2022-06-28T04:15:02Z,https://i.ytimg.com/vi/ATnZmBxIvmQ/default.jpg,1248,75,9
34,Training Data Vs Test Data Vs Validation Data| Krish Naik,2022-06-25T11:35:19Z,https://i.ytimg.com/vi/XCYlRBf18YI/default.jpg,2673,158,9
